Origin Airport,Origin Airport Name,Origin City Name,Origin Country Name,Origin Region Name,Destination Airport,Destination Airport Name,Destination City Name,Destination Country Name,Destination Region Name,Marketing Airline,Operating Airline,Marketing Airline Name,Operating Airline Name,Code Share,Fleet,Manufacturer,Flight No,Effective Date,Discontinued Date,Departure Time,Arrival Time,Flight Duration (mins),Departure Terminal,Arrival Terminal,Restricted Code,Frequency,Schedule Type,DepCount,Operating Airline   Capacity,Operating Airline   ASM(Nautical)(Millions),Distance (N.Mil)
BOM,MUMBAI AIRPORT,MUMBAI,INDIA,ASIA SUB-CONTINENT,AMD,S. VALLABHBHAI PATEL AIRPORT,AHMEDABAD,INDIA,ASIA SUB-CONTINENT,AI,AI,Air India Limited,Air India Limited,NO,310,AIRBUS,122,20001102,20001130,2:05,3:10,65,2,,Q, ---4--- ,AIR,1,210.0,0.05,247.0
CFS,COFFS HARBOUR AIRPORT,COFFS HARBOUR,AUSTRALIA,AUSTRALIA,GFN,CLARENCE VALLEY AIRPORT,GRAFTON,AUSTRALIA,AUSTRALIA,QF,QF,Qantas Airways Ltd.,Qantas Airways Ltd.,NO,DH8,De Havilland Canada,2102,20001101,20001130,8:55,9:15,20,,, , -----67 ,AIR,2,72.0,0.0,34.0
FDF,MARTINIQUE A. CESAIRE AIRPORT,FORT DE FRANCE,MARTINIQUE,CARIBBEAN,PTP,LE RAIZET AIRPORT,POINTE-A-PITRE,GUADELOUPE,CARIBBEAN,TX,TX,Air Caraibes,Air Caraibes,NO,AT4,ATR,372,20001101,20001130,11:00,11:45,45,,, , ------7 ,AIR,1,46.0,0.0,104.0
LGA,LAGUARDIA AIRPORT,NEW YORK,UNITED STATES,NORTH AMERICA,YYZ,LESTER B. PEARSON INTL AIRPORT,TORONTO,CANADA,NORTH AMERICA,AC,AC,Air Canada,Air Canada,NO,320,AIRBUS,705,20001102,20001117,9:10,10:47,97,M,2, , ---45-- ,AIR,2,292.0,0.09,304.0
MAD,ADOLFO SUAREZ-BARAJAS AIRPORT,MADRID,SPAIN,WESTERN EUROPE,LIS,LISBOA AIRPORT,LISBON,PORTUGAL,WESTERN EUROPE,IB,IB,Iberia Lineas Aereas de Espana Sociedad Anonima Operadora,Iberia Lineas Aereas de Espana Sociedad Anonima Operadora,NO,72S,BOEING,3110,20010301,20010331,12:10,12:20,70,2,, , 1234567 ,AIR,7,1092.0,0.29,270.0
MJN,PHILIBERT TSIRANANA AIRPORT,MAJUNGA,MADAGASCAR,EAST AFRICA,WPB,PORT BERGE VAOVAO AIRPORT,PORT BERGE,MADAGASCAR,EAST AFRICA,MD,MD,Air Madagascar,Air Madagascar,NO,DHT,De Havilland Canada,841,20001101,20001130,8:30,9:05,35,,, , -2----- ,AIR,1,19.0,0.0,76.0
TIA,RINAS AIRPORT,TIRANA,ALBANIA,EASTERN EUROPE,PRN,PRISTINA INTERNATIONAL AIRPORT,PRISTINA,KOSOVO,EASTERN EUROPE,LV,LV,Openskies,Openskies,NO,YK4,Yakovlev/Jakovlev,420,20010301,20010323,11:45,12:30,45,,, , ----5-- ,AIR,1,32.0,0.0,88.0
IAH,GEORGE BUSH INTERCONTINENTAL AIRPORT,HOUSTON,UNITED STATES,NORTH AMERICA,MSY,LOUIS ARMSTRONG INTERNATIONAL AIRPORT,NEW ORLEANS,UNITED STATES,NORTH AMERICA,HP,CO,Amapola Flyg AB,Cobaltair Ltd,YES,M80,MCDONNELL-DOUGLAS,1629,20010301,20010330,15:30,16:35,65,C,,Y, 12345-7 ,AIR,6,,,262.0
CLP,CLARKS POINT AIRPORT,CLARKS POINT,UNITED STATES,NORTH AMERICA,KKU,EKUK AIRPORT,EKUK,UNITED STATES,NORTH AMERICA,GS,GS,TianJin Airlines Co. Ltd.,TianJin Airlines Co. Ltd.,NO,CNA,Cessna,432,20001101,20001130,16:20,16:30,10,,, , 123456- ,AIR,6,54.0,,
SEA,SEATTLE-TACOMA INTERNATIONAL AIRPORT,SEATTLE,UNITED STATES,NORTH AMERICA,GEG,SPOKANE INTERNATIONAL AIRPORT,SPOKANE,UNITED STATES,NORTH AMERICA,WN,WN,Southwest Airlines Co,Southwest Airlines Co,NO,733,BOEING,478,20001101,20001130,13:30,14:25,55,,, ,1234567,AIR,7,959.0,0.19,197.0
CAN,BAIYUN INTERNATIONAL AIRPORT,GUANGZHOU,CHINA,FAR EAST ASIA,SHA,HONGQIAO INTERNATIONAL AIRPORT,SHANGHAI,CHINA,FAR EAST ASIA,CZ,CZ,China Southern Airlines,China Southern Airlines,NO,757,BOEING,3525,20001101,20001130,13:40,15:20,100,,, , 1--4--- ,AIR,2,396.0,0.25,635.0
DEN,DENVER INTERNATIONAL AIRPORT,DENVER,UNITED STATES,NORTH AMERICA,COS,MUNICIPAL AIRPORT,COLORADO SPRINGS,UNITED STATES,NORTH AMERICA,UA,ZW,"United Airlines, Inc.",Air Wisconsin Airlines Corporation (AWAC),NO,146,BAe,5566,20010301,20010321,17:00,17:37,37,,, , 1234567 ,AIR,7,616.0,0.04,65.0
GPT,GULFPORT/BILOXI INTERNATIONAL AIRPORT,GULFPORT,UNITED STATES,NORTH AMERICA,MEM,MEMPHIS INTERNATIONAL AIRPORT,MEMPHIS,UNITED STATES,NORTH AMERICA,NW,NW,NORTHWEST AIRLINES INC.,NORTHWEST AIRLINES INC.,NO,DC9,MCDONNELL-DOUGLAS,977,20001101,20001121,18:40,19:51,71,,, , 123456- ,AIR,6,600.0,0.17,286.0
MSP,ST PAUL INTERNATIONAL AIRPORT,MINNEAPOLIS / ST PAUL,UNITED STATES,NORTH AMERICA,ORD,O'HARE INTERNATIONAL AIRPORT,CHICAGO,UNITED STATES,NORTH AMERICA,AA,AA,American Airlines,American Airlines,NO,100,FOKKER,1788,20010301,20010331,14:25,15:43,78,M,3, , 1234567 ,AIR,7,595.0,0.17,292.0
VLL,VALLADOLID AIRPORT,VALLADOLID,SPAIN,WESTERN EUROPE,TFS,TENERIFE-SUR,TENERIFE,SPAIN,WESTERN EUROPE,UX,UX,"Air Europa Lineas Aereas, S.A.","Air Europa Lineas Aereas, S.A.",NO,733,BOEING,9762,20001101,20001130,17:30,19:20,170,,, , --3---- ,AIR,1,148.0,0.15,1005.0
CDG,CHARLES DE GAULLE AIRPORT,PARIS,FRANCE,WESTERN EUROPE,ARN,ARLANDA AIRPORT,STOCKHOLM,SWEDEN,WESTERN EUROPE,SK,SK,Scandinavian Airlines System,Scandinavian Airlines System,NO,M87,MCDONNELL-DOUGLAS,574,20001104,20001130,11:15,13:50,155,1,5, , -----6- ,AIR,1,110.0,0.09,834.0
LCY,CITY AIRPORT,LONDON,UNITED KINGDOM,WESTERN EUROPE,MGL,MOENCHENGLADBACH AIRPORT,DUSSELDORF,GERMANY,WESTERN EUROPE,VG,VG,VLM  AIRLINES N.V. (TRADING AS CITYJET),VLM  AIRLINES N.V. (TRADING AS CITYJET),NO,F50,FOKKER,306,20001101,20001130,15:35,17:55,80,,, , 12345-7 ,AIR,6,300.0,0.07,242.0
MSP,ST PAUL INTERNATIONAL AIRPORT,MINNEAPOLIS / ST PAUL,UNITED STATES,NORTH AMERICA,MIA,MIAMI INTERNATIONAL AIRPORT,MIAMI,UNITED STATES,NORTH AMERICA,NW,NW,NORTHWEST AIRLINES INC.,NORTHWEST AIRLINES INC.,NO,757,BOEING,570,20001101,20001104,7:30,12:04,214,M,, , -----67 ,AIR,1,184.0,0.24,1315.0
MTY,MARIANO ESCOBEDO INTL AIRPORT,MONTERREY,MEXICO,NORTH AMERICA,MEX,BENITO JUAREZ INTL AIRPORT,MEXICO CITY,MEXICO,NORTH AMERICA,AM,AM,Aeromexico Aerovias de Mexico S.A. de C.V.,Aeromexico Aerovias de Mexico S.A. de C.V.,NO,757,BOEING,937,20010301,20010331,19:00,20:25,85,,, , 1-34--- ,AIR,3,540.0,0.21,394.0
SMA,VILA DO PORTO AIRPORT,SANTA MARIA,PORTUGAL,WESTERN EUROPE,PDL,NORDELA AIRPORT,PONTA DELGADA,PORTUGAL,WESTERN EUROPE,SP,SP,SATA (Air Acores),SATA (Air Acores),NO,ATP,BAe,104,20010301,20010331,09:40,10:10,30,,, , -2-4--- ,AIR,2,128.0,0.01,60.0
BWI,BALTIMORE/WASHINGTON INTL AIRPORT,WASHINGTON,UNITED STATES,NORTH AMERICA,MSP,ST PAUL INTERNATIONAL AIRPORT,MINNEAPOLIS / ST PAUL,UNITED STATES,NORTH AMERICA,CO,NW,Cobaltair Ltd,NORTHWEST AIRLINES INC.,YES,757,BOEING,5353,20001101,20001130,8:15,9:56,161,,M,Y,1234567,AIR,7,,,815.0
EDI,EDINBURGH AIRPORT,EDINBURGH,UNITED KINGDOM,WESTERN EUROPE,MAN,MANCHESTER AIRPORT,MANCHESTER,UNITED KINGDOM,WESTERN EUROPE,LH,BD,Deutsche Lufthansa AG,Cambodia Bayon Airlines Limited,YES,ER4,EMBRAER,9072,20010301,20010323,07:05,08:00,55,,3, , 12345-- ,AIR,5,,,164.0
CDG,CHARLES DE GAULLE AIRPORT,PARIS,FRANCE,WESTERN EUROPE,GVA,GENEVA INTERNATIONAL AIRPORT,GENEVA,SWITZERLAND,WESTERN EUROPE,DL,AF,"Delta Air Lines, Inc.",Air France,YES,321,AIRBUS,8528,20010301,20010318,13:05,14:10,65,2F,M,O, 1234567 ,AIR,7,,,222.0
HOU,WILLIAM P. HOBBY AIRPORT,HOUSTON,UNITED STATES,NORTH AMERICA,DFW,DALLAS/FT. WORTH INTERNATIONAL AIRPORT,DALLAS FORT WORTH,UNITED STATES,NORTH AMERICA,YX,MQ,"Republic Airline, Inc",Envoy Air Inc.,YES,SF3,Saab,3544,20010301,20010301,11:38,13:03,85,,A,Y, 12345-7 ,AIR,1,,,216.0
PBC,HERMANOS SERDAN INTL AIRPORT,PUEBLA,MEXICO,NORTH AMERICA,IAH,GEORGE BUSH INTERCONTINENTAL AIRPORT,HOUSTON,UNITED STATES,NORTH AMERICA,CO,RU,Cobaltair Ltd,AirBridgeCargo Airlines LLC,NO,ERJ,EMBRAER,3920,20010301,20010331,07:00,09:15,135,,D, , 1234567 ,AIR,7,350.0,0.24,680.0
EWR,NEWARK LIBERTY INTERNATIONAL AIRPORT,NEW YORK,UNITED STATES,NORTH AMERICA,YOW,MACDONALD-CARTIER INTL AIRPORT,OTTAWA,CANADA,NORTH AMERICA,CP,CP,Compass Airlines LLC,Compass Airlines LLC,NO,F28,FOKKER,1670,20001101,20001103,9:25,10:55,90,A,, , 12345-- ,AIR,3,165.0,0.05,284.0
LHR,HEATHROW AIRPORT,LONDON,UNITED KINGDOM,WESTERN EUROPE,SIN,CHANGI AIRPORT,SINGAPORE,SINGAPORE,SOUTHEAST ASIA,QF,BA,Qantas Airways Ltd.,British Airways p.l.c.,YES,744,BOEING,308,20001101,20001130,11:15,8:00,765,4,1, , ----5-7 ,AIR,2,,,5894.0
HND,TOKYO INTERNATIONAL (HANEDA) AIRPORT,TOKYO,JAPAN,FAR EAST ASIA,SHM,NANKI-SHIRAHAMA,SHIRAHAMA,JAPAN,FAR EAST ASIA,JD,JD,Beijing Capital Airlines Co. Ltd.,Beijing Capital Airlines Co. Ltd.,NO,M87,MCDONNELL-DOUGLAS,383,20001101,20001130,12:45,14:00,75,D,, ,1234567,AIR,7,938.0,0.23,248.0
ABQ,INTERNATIONAL SUNPORT AIRPORT,ALBUQUERQUE,UNITED STATES,NORTH AMERICA,DFW,DALLAS/FT. WORTH INTERNATIONAL AIRPORT,DALLAS FORT WORTH,UNITED STATES,NORTH AMERICA,JL,AA,"Japan Airlines Co., Ltd.",American Airlines,YES,M80,MCDONNELL-DOUGLAS,5641,20001101,20001130,7:17,10:04,107,,C,Y, 123--6- ,AIR,4,,,494.0
PLM,S M BADARUDDIN II AIRPORT,PALEMBANG,INDONESIA,SOUTHEAST ASIA,BDO,HUSEIN SASTRANEGARA AIRPORT,BANDUNG,INDONESIA,SOUTHEAST ASIA,MZ,MZ,Amakusa Airlines Co Ltd,Amakusa Airlines Co Ltd,NO,F28,FOKKER,145,20010301,20010331,15:10,16:20,70,,, , 1-3-5-7 ,AIR,4,300.0,0.09,296.0
IAD,DULLES INTERNATIONAL AIRPORT,WASHINGTON,UNITED STATES,NORTH AMERICA,LAX,LOS ANGELES INTERNATIONAL AIRPORT,LOS ANGELES,UNITED STATES,NORTH AMERICA,UA,UA,"United Airlines, Inc.","United Airlines, Inc.",NO,320,AIRBUS,187,20001101,20001130,11:15,13:49,334,,7, ,1234567,AIR,7,966.0,1.92,1992.0
SEL,METROPOLITAN AREA,SEOUL,SOUTH KOREA,FAR EAST ASIA,KUV,GUNSAN AIRPORT,GUNSAN,SOUTH KOREA,FAR EAST ASIA,KE,KE,Korean Air Lines Co. Ltd.,Korean Air Lines Co. Ltd.,NO,M82,MCDONNELL-DOUGLAS,1321,20001101,20001130,11:45,12:35,50,D,, ,1234567,AIR,7,1148.0,,
SHJ,SHARJAH AIRPORT,SHARJAH,UNITED ARAB EMIRATES,GULF,DAM,DAMASCUS INTERNATIONAL AIRPORT,DAMASCUS,SYRIAN ARAB REPUBLIC,MIDDLE EAST,RB,RB,Syrian Arab Airlines,Syrian Arab Airlines,NO,747,BOEING,502,20010301,20010319,11:00,12:00,180,,, , 1------ ,AIR,1,400.0,0.44,1101.0
MYY,MIRI AIRPORT,MIRI,MALAYSIA,SOUTHEAST ASIA,MKM,MUKAH AIRPORT,MUKAH,MALAYSIA,SOUTHEAST ASIA,MH,MH,Malaysia Airlines Berhad,Malaysia Airlines Berhad,NO,DHT,De Havilland Canada,3699,20010301,20010319,11:30,12:40,70,,, , 1------ ,AIR,1,19.0,0.0,141.0
EWR,NEWARK LIBERTY INTERNATIONAL AIRPORT,NEW YORK,UNITED STATES,NORTH AMERICA,MCI,KANSAS CITY INTERNATIONAL AIRPORT,KANSAS CITY,UNITED STATES,NORTH AMERICA,CO,CO,Cobaltair Ltd,Cobaltair Ltd,NO,735,BOEING,675,20001104,20001130,11:25,13:38,193,C,C, , -----67 ,AIR,2,228.0,0.22,951.0
NRT,NARITA INTERNATIONAL,TOKYO,JAPAN,FAR EAST ASIA,FCO,FIUMICINO AIRPORT,ROME,ITALY,WESTERN EUROPE,AZ,JL,Alitalia - Societa Aerea Italiana S.p.A,"Japan Airlines Co., Ltd.",YES,744,BOEING,7789,20001104,20001130,13:30,18:05,755,2,C, , 1----6- ,AIR,2,,,5359.0
ALC,ALICANTE AIRPORT,ALICANTE,SPAIN,WESTERN EUROPE,MAD,ADOLFO SUAREZ-BARAJAS AIRPORT,MADRID,SPAIN,WESTERN EUROPE,UX,UX,"Air Europa Lineas Aereas, S.A.","Air Europa Lineas Aereas, S.A.",NO,ATP,BAe,8722,20010301,20010323,17:40,19:10,90,,, , 12345-- ,AIR,5,320.0,0.06,198.0
SOU,SOUTHAMPTON AIRPORT,SOUTHAMPTON,UNITED KINGDOM,WESTERN EUROPE,GLA,GLASGOW INTERNATIONAL AIRPORT,GLASGOW,UNITED KINGDOM,WESTERN EUROPE,BA,TH,British Airways p.l.c.,Raya Airways Sdn Bhd,NO,ER4,EMBRAER,7851,20001104,20001130,7:45,9:00,75,,M, , -----6- ,AIR,1,49.0,0.02,316.0
OTP,OTOPENI INTERNATIONAL AIRPORT,BUCHAREST,ROMANIA,EASTERN EUROPE,BUD,LISZT FERENC INTERNATIONAL AIRPORT,BUDAPEST,HUNGARY,EASTERN EUROPE,MA,MA,MALEV HUNGARIAN AIRLINES  LIMITED,MALEV HUNGARIAN AIRLINES  LIMITED,NO,F70,FOKKER,853,20001101,20001130,7:55,8:10,75,,2A, , ------7 ,AIR,1,75.0,0.03,334.0
CGK,SOEKARNO-HATTA INTERNATIONAL AIRPORT,JAKARTA,INDONESIA,SOUTHEAST ASIA,JED,KING ABDULAZIZ INTERNATIONAL AIRPORT,JEDDAH,SAUDI ARABIA,GULF,SV,SV,Saudi Arabian Airlines,Saudi Arabian Airlines,NO,743,BOEING,815,20001101,20001130,13:00,18:35,575,2,SV, , 1------ ,AIR,1,393.0,1.7,4315.0
OSL,OSLO AIRPORT,OSLO,NORWAY,WESTERN EUROPE,CPH,KASTRUP AIRPORT,COPENHAGEN,DENMARK,WESTERN EUROPE,DM,SK,ANDA AIR Limited Liability Company,Scandinavian Airlines System,YES,M90,MCDONNELL-DOUGLAS,6136,20010301,20010324,08:10,09:25,75,,3,Y, 1234567 ,AIR,7,,,286.0
DEN,DENVER INTERNATIONAL AIRPORT,DENVER,UNITED STATES,NORTH AMERICA,PHL,PHILADELPHIA INTERNATIONAL AIRPORT,PHILADELPHIA,UNITED STATES,NORTH AMERICA,US,US,US AIRWAYS INC.,US AIRWAYS INC.,NO,319,AIRBUS,184,20001101,20001111,15:00,20:23,203,,B, ,1234567,AIR,7,868.0,1.17,1352.0
LAX,LOS ANGELES INTERNATIONAL AIRPORT,LOS ANGELES,UNITED STATES,NORTH AMERICA,PSP,PALM SPRINGS INTERNATIONAL AIRPORT,PALM SPRINGS,UNITED STATES,NORTH AMERICA,CO,AA,Cobaltair Ltd,American Airlines,YES,SF3,Saab,2760,20010301,20010301,14:15,15:05,50,4,,Y, 1234567 ,AIR,1,,,96.0
PPP,WHITSUNDAY COAST AIRPORT,PROSERPINE,AUSTRALIA,AUSTRALIA,TSV,TOWNSVILLE INTERNATIONAL AIRPORT,TOWNSVILLE,AUSTRALIA,AUSTRALIA,QF,QF,Qantas Airways Ltd.,Qantas Airways Ltd.,NO,SH6,Shorts,2314,20001101,20001105,16:55,17:45,50,,, , ------7 ,AIR,1,35.0,0.0,126.0
SIN,CHANGI AIRPORT,SINGAPORE,SINGAPORE,SOUTHEAST ASIA,PNH,PHNOM PENH INTERNATIONAL AIRPORT,PHNOM PENH,CAMBODIA,SOUTHEAST ASIA,VJ,VJ,VietJet Aviation Joint Stock Company,VietJet Aviation Joint Stock Company,NO,732,BOEING,16,20001101,20001130,13:05,14:00,115,1,, , -2----- ,AIR,1,115.0,0.07,621.0
YXH,MEDICINE HAT AIRPORT,MEDICINE HAT,CANADA,NORTH AMERICA,YYC,CALGARY INTERNATIONAL AIRPORT,CALGARY,CANADA,NORTH AMERICA,CP,9M,Compass Airlines LLC,Central Mountain Air,YES,BEH,Beech,7740,20001101,20001130,13:10,14:00,50,,, ,1234567,AIR,7,,,142.0
SFO,SAN FRANCISCO INTERNATIONAL AIRPORT,SAN FRANCISCO,UNITED STATES,NORTH AMERICA,DEN,DENVER INTERNATIONAL AIRPORT,DENVER,UNITED STATES,NORTH AMERICA,UA,UA,"United Airlines, Inc.","United Airlines, Inc.",NO,744,BOEING,1586,20001104,20001104,14:25,17:50,145,N,, , -----6- ,AIR,1,347.0,0.29,841.0
DTW,METROPOLITAN WAYNE COUNTY AIRPORT,DETROIT,UNITED STATES,NORTH AMERICA,ERI,ERIE INTERNATIONAL AIRPORT,ERIE,UNITED STATES,NORTH AMERICA,NW,XJ,NORTHWEST AIRLINES INC.,Thai Airasia X Company Limited,NO,SF3,Saab,3344,20010301,20010331,21:20,22:30,70,M,, , 12345-7 ,AIR,6,204.0,0.03,143.0
RAK,MENARA AIRPORT,MARRAKECH,MOROCCO,NORTH AFRICA,ORY,ORLY FIELD,PARIS,FRANCE,WESTERN EUROPE,AT,AF,Royal Air Maroc,Air France,NO,738,BOEING,740,20001101,20001130,17:00,21:15,195,,S, ,1234567,AIR,7,1071.0,1.22,1142.0
AKL,AUCKLAND INTERNATIONAL AIRPORT,AUCKLAND,NEW ZEALAND,PACIFIC,BNE,BRISBANE INTERNATIONAL AIRPORT,BRISBANE,AUSTRALIA,AUSTRALIA,NZ,NZ,Air New Zealand Limited,Air New Zealand Limited,NO,744,BOEING,131,20010301,20010317,07:30,08:05,215,I,I, , 1234567 ,AIR,7,3024.0,3.77,1246.0
VLC,VALENCIA AIRPORT,VALENCIA,SPAIN,WESTERN EUROPE,FRA,FRANKFURT INTERNATIONAL AIRPORT,FRANKFURT,GERMANY,WESTERN EUROPE,LH,LH,Deutsche Lufthansa AG,Deutsche Lufthansa AG,NO,32S,AIRBUS,4271,20001101,20001130,13:00,15:35,155,,1, , 12---67 ,AIR,4,600.0,0.45,748.0
SJC,NORMAN Y. MINETA INTERNATIONAL,SAN FRANCISCO,UNITED STATES,NORTH AMERICA,LAS,MCCARRAN INTERNATIONAL AIRPORT,LAS VEGAS,UNITED STATES,NORTH AMERICA,AA,AA,American Airlines,American Airlines,NO,M80,MCDONNELL-DOUGLAS,2859,20010301,20010301,13:00,14:25,85,A,1, , 1234567 ,AIR,1,140.0,0.05,338.0
FCO,FIUMICINO AIRPORT,ROME,ITALY,WESTERN EUROPE,CTA,FONTANAROSSA AIRPORT,CATANIA,ITALY,WESTERN EUROPE,NW,RD,NORTHWEST AIRLINES INC.,RYAN INTERNATIONAL AIRLINES,YES,M80,MCDONNELL-DOUGLAS,8837,20010301,20010324,08:25,09:35,70,C,,Y, 1234567 ,AIR,7,,,295.0
DTW,METROPOLITAN WAYNE COUNTY AIRPORT,DETROIT,UNITED STATES,NORTH AMERICA,STL,LAMBERT-ST LOUIS INTERNATIONAL AIRPORT,ST LOUIS,UNITED STATES,NORTH AMERICA,KL,NW,KLM Royal Dutch Airlines,NORTHWEST AIRLINES INC.,YES,D9S,MCDONNELL-DOUGLAS,5205,20010301,20010304,12:05,12:49,104,M,M,A, 1234567 ,AIR,4,,,375.0
SEA,SEATTLE-TACOMA INTERNATIONAL AIRPORT,SEATTLE,UNITED STATES,NORTH AMERICA,YKM,YAKIMA AIR TERMINAL AIRPORT,YAKIMA,UNITED STATES,NORTH AMERICA,NW,QX,NORTHWEST AIRLINES INC.,Horizon Air Industries Inc.,YES,DH8,De Havilland Canada,2268,20010301,20010331,07:50,08:30,40,,,Y, 123456- ,AIR,6,,,92.0
NRK,KUNGSANGEN AIRPORT,NORRKOPING,SWEDEN,WESTERN EUROPE,ARN,ARLANDA AIRPORT,STOCKHOLM,SWEDEN,WESTERN EUROPE,SK,JZ,Scandinavian Airlines System,Jubba Airways,YES,J31,BAe,6720,20010301,20010323,06:25,07:05,40,,3, , 12345-- ,AIR,5,,,87.0
ROC,GREATER ROCHESTER INTERNATIONAL AIRPORT,ROCHESTER,UNITED STATES,NORTH AMERICA,ORD,O'HARE INTERNATIONAL AIRPORT,CHICAGO,UNITED STATES,NORTH AMERICA,SK,UA,Scandinavian Airlines System,"United Airlines, Inc.",YES,319,AIRBUS,8792,20010301,20010330,16:30,17:27,117,,1,Y, 12345-- ,AIR,5,,,458.0
KMG,CHANGSHUI INTERNATIONAL AIRPORT,KUNMING,CHINA,FAR EAST ASIA,LJG,SANYI AIRPORT,LIJIANG CITY,CHINA,FAR EAST ASIA,3Q,3Q,CARIB AVIATION LIMITED,CARIB AVIATION LIMITED,NO,733,BOEING,4409,20010301,20010331,07:45,08:25,40,,, , -2-4-67 ,AIR,4,524.0,0.09,177.0
BRU,BRUSSELS AIRPORT,BRUSSELS,BELGIUM,WESTERN EUROPE,AMS,SCHIPHOL AIRPORT,AMSTERDAM,NETHERLANDS,WESTERN EUROPE,SN,SN,Brussels Airlines,Brussels Airlines,NO,320,AIRBUS,2401,20010301,20010318,06:45,07:30,45,,, , ------7 ,AIR,1,134.0,0.01,90.0
ZLO,PLAYA DE ORO INTL AIRPORT,MANZANILLO,MEXICO,NORTH AMERICA,MEX,BENITO JUAREZ INTL AIRPORT,MEXICO CITY,MEXICO,NORTH AMERICA,MX,MX,COMPANIA MEXICANA DE AVIACION,COMPANIA MEXICANA DE AVIACION,NO,100,FOKKER,555,20010301,20010316,12:20,13:30,70,,, , ---45-- ,AIR,2,202.0,0.06,313.0
PHX,SKY HARBOR INTERNATIONAL AIRPORT,PHOENIX,UNITED STATES,NORTH AMERICA,LAS,MCCARRAN INTERNATIONAL AIRPORT,LAS VEGAS,UNITED STATES,NORTH AMERICA,WN,WN,Southwest Airlines Co,Southwest Airlines Co,NO,733,BOEING,1047,20001101,20001130,6:35,6:35,60,4,M, , 12345-7 ,AIR,6,822.0,0.18,224.0
TIA,RINAS AIRPORT,TIRANA,ALBANIA,EASTERN EUROPE,ATH,ELEFTHERIOS VENIZELOS AIRPORT,ATHENS,GREECE,WESTERN EUROPE,OA,OA,Olympic Air,Olympic Air,NO,732,BOEING,116,20001101,20001130,6:45,8:45,60,,W, , -2----- ,AIR,1,115.0,0.03,294.0
LAX,LOS ANGELES INTERNATIONAL AIRPORT,LOS ANGELES,UNITED STATES,NORTH AMERICA,PHX,SKY HARBOR INTERNATIONAL AIRPORT,PHOENIX,UNITED STATES,NORTH AMERICA,CO,HP,Cobaltair Ltd,Amapola Flyg AB,YES,73S,BOEING,2113,20001101,20001123,8:09,10:31,82,1,4,Y, 12345-- ,AIR,5,,,320.0
CPH,KASTRUP AIRPORT,COPENHAGEN,DENMARK,WESTERN EUROPE,KEF,KEFLAVIK INTERNATIONAL AIRPORT,REYKJAVIK,ICELAND,WESTERN EUROPE,SK,FI,Scandinavian Airlines System,Icelandair,YES,734,BOEING,6412,20001101,20001108,19:45,22:05,200,3,, , 123-5-7 ,AIR,5,,,1165.0
SEA,SEATTLE-TACOMA INTERNATIONAL AIRPORT,SEATTLE,UNITED STATES,NORTH AMERICA,DFW,DALLAS/FT. WORTH INTERNATIONAL AIRPORT,DALLAS FORT WORTH,UNITED STATES,NORTH AMERICA,AA,AA,American Airlines,American Airlines,NO,M80,MCDONNELL-DOUGLAS,1674,20001101,20001130,23:55,5:30,215,,C, ,1234567,AIR,7,980.0,1.42,1445.0
CLT,DOUGLAS INTERNATIONAL AIRPORT,CHARLOTTE,UNITED STATES,NORTH AMERICA,LEX,BLUE GRASS AIRPORT,LEXINGTON,UNITED STATES,NORTH AMERICA,US,ED,US AIRWAYS INC.,AirExplore s.r.o.,NO,J31,BAe,5074,20001101,20001110,19:10,20:55,105,,, , 12345-7 ,AIR,6,114.0,0.03,247.0
SEA,SEATTLE-TACOMA INTERNATIONAL AIRPORT,SEATTLE,UNITED STATES,NORTH AMERICA,YYJ,VICTORIA INTERNATIONAL AIRPORT,VICTORIA,CANADA,NORTH AMERICA,AS,QX,Alaska Airlines,Horizon Air Industries Inc.,NO,DH8,De Havilland Canada,2144,20001101,20001122,23:00,23:40,40,,, , 12345-7 ,AIR,6,222.0,0.02,91.0
ORD,O'HARE INTERNATIONAL AIRPORT,CHICAGO,UNITED STATES,NORTH AMERICA,DFW,DALLAS/FT. WORTH INTERNATIONAL AIRPORT,DALLAS FORT WORTH,UNITED STATES,NORTH AMERICA,SK,UA,Scandinavian Airlines System,"United Airlines, Inc.",YES,733,BOEING,8841,20001101,20001130,13:14,15:44,150,1,B,Y,1234567,AIR,7,,,699.0
TBS,TBILISI INTERNATIONAL AIRPORT,TBILISI,GEORGIA,EASTERN EUROPE,DOK,DONETSK INTERNATIONAL,DONETSK,UKRAINE,EASTERN EUROPE,7D,7D,Madagasikara Airways,Madagasikara Airways,NO,AN4,Antonov,2554,20010301,20010331,14:00,15:10,190,,, , ------7 ,AIR,1,52.0,0.03,494.0
MQZ,MARGARET RIVER AIRPORT,MARGARET RIVER,AUSTRALIA,AUSTRALIA,BQB,BUSSELTON AIRPORT,BUSSELLTON,AUSTRALIA,AUSTRALIA,JW,JW,Vanilla Air Inc.,Vanilla Air Inc.,NO,CNA,Cessna,102,20001101,20001130,7:55,8:10,15,,, , 123-5-- ,AIR,4,32.0,,
